Lp.;Tytuł;Autor;Rok wydania;Liczba stron;Gatunek;;;;;
173.  ;Tiramisu z truskawkami;Jagiełło Joanna;2016;312;literatura młodzieżowa;;;;;
178.  ;Małe trolle i duża powódź;Jansson Tove;1998;54;literatura dziecięca;;;;;
174.  ;Dolina Muminków w listopadzie;Jansson Tove;2000;159;literatura dziecięca;;;;;
182.  ;W Dolinie Muminków;Jansson Tove;2001;150;literatura dziecięca;;;;;
180.  ;Pamiętniki Tatusia Muminka;Jansson Tove;2003;172;literatura dziecięca;;;;;
175.  ;Kometa nad Doliną Muminków;Jansson Tove;2006;197;literatura dziecięca;;;;;
177.  ;Lato Muminków;Jansson Tove;2006;183;literatura dziecięca;;;;;
181.  ;Tatuś Muminka i morze;Jansson Tove;2006;276;literatura dziecięca;;;;;
183.  ;Zima Muminków;Jansson Tove;2006;163;literatura dziecięca;;;;;
176.  ;Lato;Jansson Tove;2007;210;literatura dziecięca;;;;;
179.  ;Opowiadania z Doliny Muminków;Jansson Tove;2007;208;literatura dziecięca;;;;;
184.  ;Śladami Pitagorasa;Jeleński Szczepan;1974;291;inne;;;;;
185.  ;Bezimienny anioł;Jooss Erich;2005;101;literatura dziecięca;;;;;
186.  ;Książka nad książkami;Kamieńska Anna;2006;352;literatura dziecięca;;;;;
187.  ;Hermes 9:10;Karwan-Jastrzębska Ewa;2008;183;literatura dziecięca;;;;;
189.  ;Mity dla dzieci;Kasdepke Grzegorz;2003;55;literatura dziecięca;;;;;
188.  ;Mity dla dzieci;Kasdepke Grzegorz;2009;103;literatura dziecięca;;;;;
190.  ;35 maja;Kastner Erich;2006;71;literatura dziecięca;;;;;
192.  ;Łapy, pióra i rymów cała fura;Kern Ludwik Jerzy;2002;39;wiersze dziecięce;;;;;
191.  ;Ferdynand Wspaniały;Kern Ludwik Jerzy;2006;135;literatura dziecięca;;;;;
194.  ;Księga dżungli;Kipling Rudyard;2008;159;literatura dziecięca;;;;;
193.  ;Księga dżungli;Kipling Rudyard;2016;261;literatura dziecięca;;;;;
195.  ;Poznańmy się!;Knapowska-Niziołek Magdalena;2013;103;literatura dziecięca;;;;;
197.  ;Solilandia, tom 2, Wyprawa do Kryształowej Groty;Kołodziej Beata;2006;163;literatura dziecięca;;;;;
196.  ;Solilandia, tom 1,Pamiętniki wielickiego skrzata;Kołodziej Beata;2007;117;literatura dziecięca;;;;;
198.  ;O krasnoludkach i sierotce Marysi;Konopncka Maria;2010;199;literatura dziecięca;;;;;
199.  ;Król Maciuś Pierwszy;Korczak Janusz;2005;256;literatura dziecięca;;;;;
200.  ;39 wskazówek, tom 2, Fałszywa nuta;Korman Gordon;2012;191;fantastyka dziecięca;;;;;
207.  ;Feliks, Net i Nika, tom 07, Feliks, Net i Nika oraz Trzecia kuzynka;Kosik Rafał;2009;458;fantastyka młodzieżowa;;;;;
205.  ;Feliks, Net i Nika, tom 05, Feliks, Net i Nika oraz Orbitalny spisek;Kosik Rafał;2010;418;fantastyka młodzieżowa;;;;;
